elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
0.13014998,161,1104,-1787,526,4245,-167,357,724
0.13064998,162,1105,-1787,526,4250,-167,357,723
0.13114998,162,1105,-1787,526,4251,-167,357,724
0.13164999,162,1105,-1787,526,4248,-167,357,724
0.13214998,161,1105,-1787,526,4251,-167,357,724
0.13264997,162,1105,-1788,527,4256,-167,357,724
0.13314998,162,1105,-1787,527,4260,-167,357,724
0.13364998,161,1105,-1787,526,4261,-167,358,724
0.13414998,162,1105,-1787,527,4260,-167,357,724
0.13464998,162,1105,-1787,527,4261,-167,357,724
0.13514999,161,1105,-1787,527,4263,-167,357,723
0.13564998,161,1105,-1787,526,4265,-167,357,724
0.13614997,162,1105,-1787,526,4262,-167,357,724
0.13664998,161,1105,-1787,527,4281,-167,357,724
0.13714997,161,1105,-1787,527,4314,-166,356,724
0.13764998,161,1105,-1787,527,4312,-167,357,723
0.13814998,161,1105,-1787,527,4302,-166,357,724
0.13864999,162,1105,-1787,527,4270,-166,357,723
0.13914998,161,1105,-1787,527,4252,-167,358,723
0.13964997,162,1105,-1787,527,4244,-166,358,723
0.14014998,161,1105,-1787,528,4243,-167,358,723
0.14064997,162,1105,-1787,528,4252,-167,357,724
0.14114998,162,1105,-1788,528,4262,-167,358,724
0.14164998,161,1105,-1788,527,4268,-167,357,724
0.14214998,162,1105,-1788,527,4269,-167,357,723
0.14264998,162,1105,-1788,528,4267,-167,357,724
0.14314997,162,1105,-1788,528,4262,-166,358,723
0.14364998,162,1105,-1788,527,4262,-167,357,723
0.14414997,162,1105,-1787,526,4256,-166,357,723
0.14464998,162,1105,-1787,525,4257,-167,357,723
0.14514998,162,1105,-1786,525,4256,-167,357,723
0.14564998,162,1105,-1787,525,4251,-167,357,723
0.14614998,161,1105,-1787,526,4250,-167,357,723
0.14664997,162,1105,-1788,526,4271,-167,357,723
0.14714998,161,1105,-1788,526,4304,-167,357,724
0.14764997,161,1105,-1788,527,4304,-166,357,723
0.14814998,162,1105,-1788,527,4298,-167,357,724
0.14864998,162,1105,-1788,526,4266,-167,357,723
0.14914998,162,1105,-1787,526,4247,-167,357,723
0.14964998,161,1105,-1786,525,4241,-167,357,723
0.15014997,161,1105,-1786,525,4245,-167,357,723
0.15064998,162,1105,-1785,524,4253,-167,357,723
0.15114997,162,1105,-1786,525,4258,-167,356,723
0.15164998,162,1105,-1786,525,4262,-167,357,723
0.15214998,162,1105,-1787,526,4260,-167,357,723
0.15264998,162,1105,-1788,526,4261,-167,357,723
0.15314998,162,1105,-1787,526,4262,-167,357,723
0.15364999,162,1105,-1787,526,4263,-167,357,723
0.15414998,162,1105,-1787,526,4262,-167,357,723
0.15464997,162,1105,-1786,526,4264,-167,357,723
0.15514998,162,1105,-1787,527,4266,-167,357,723
0.15564997,161,1105,-1787,527,4269,-167,357,723
0.15614998,162,1105,-1787,527,4268,-167,357,723
0.15664998,162,1105,-1787,527,4292,-167,357,723
0.15714999,162,1105,-1787,527,4316,-167,357,723
0.15764998,162,1105,-1788,528,4313,-166,357,723
0.15814997,161,1105,-1788,527,4304,-167,357,723
0.15864998,162,1105,-1788,526,4272,-167,357,723
0.15914997,161,1105,-1788,526,4255,-167,358,724
0.15964998,162,1105,-1788,526,4253,-167,357,723
0.16014998,162,1105,-1787,525,4258,-167,358,724
0.16064999,162,1105,-1787,525,4260,-167,357,724
0.16114998,162,1105,-1787,526,4265,-166,357,724
0.16164997,162,1105,-1786,526,4268,-166,357,724
0.16214998,162,1105,-1787,526,4267,-167,357,724
0.16264997,162,1105,-1787,526,4266,-167,357,724
0.16314998,162,1105,-1787,526,4263,-166,357,724
0.16364998,162,1105,-1787,527,4260,-167,357,724
0.16414998,162,1105,-1787,526,4256,-167,357,724
0.16464998,161,1105,-1787,527,4256,-167,358,724
0.16514997,162,1105,-1788,526,4255,-166,357,724
0.16564998,162,1105,-1787,526,4251,-167,358,724
0.16614997,162,1105,-1787,526,4248,-167,357,723
0.16664998,162,1105,-1787,526,4280,-167,357,724
0.16714998,162,1105,-1787,525,4303,-166,357,724
0.16764998,162,1105,-1787,525,4303,-167,357,724
0.16814998,162,1105,-1787,525,4295,-167,357,723
0.16864997,162,1105,-1787,525,4262,-167,357,723
0.16914998,162,1105,-1787,525,4245,-167,357,723
0.16964997,162,1105,-1787,527,4242,-167,358,724
0.17014998,161,1105,-1787,527,4247,-167,357,724
0.17064998,162,1105,-1787,527,4257,-167,357,724
0.17114998,162,1105,-1787,527,4260,-167,357,724
0.17164998,162,1105,-1787,526,4259,-167,357,724
0.17214999,162,1105,-1787,526,4261,-167,357,723
0.17264998,162,1105,-1787,526,4263,-167,357,724
0.17314997,162,1105,-1787,526,4263,-166,357,724
0.17364998,162,1104,-1787,526,4268,-167,357,724
0.17414998,162,1105,-1787,525,4268,-167,357,724
0.17464998,161,1105,-1787,526,4270,-167,357,723
0.17514998,162,1105,-1787,526,4270,-167,357,724
0.17564999,162,1105,-1787,526,4265,-167,357,723
0.17614998,162,1105,-1787,526,4267,-167,357,723
0.17664997,162,1105,-1787,526,4294,-167,357,724
0.17714998,162,1105,-1787,526,4313,-167,357,723
0.17764997,162,1105,-1787,527,4314,-167,357,724
0.17814998,162,1105,-1787,526,4297,-166,357,723
0.17874998,162,1105,-1787,526,4269,-167,357,723
0.17924997,162,1105,-1787,526,4251,-166,357,724
0.17974998,162,1106,-1787,526,4241,-167,357,723
0.18024997,162,1105,-1787,526,4246,-167,357,723
0.18074998,162,1105,-1787,526,4251,-166,357,724
0.18124998,161,1106,-1787,526,4253,-167,357,724
0.18174998,162,1105,-1787,526,4261,-166,357,724
0.18224998,162,1106,-1787,526,4263,-166,357,724
0.18274997,162,1105,-1787,526,4264,-167,357,724
0.18324998,161,1106,-1787,526,4263,-167,358,724
0.18374997,162,1106,-1787,526,4260,-167,357,724
0.18424998,162,1106,-1787,526,4259,-167,357,724
0.18474998,162,1105,-1787,527,4262,-167,358,724
0.18524998,162,1105,-1787,526,4263,-167,357,723
0.18574998,162,1105,-1787,526,4258,-167,357,724
0.18624997,162,1105,-1787,527,4255,-167,357,723
0.18674998,162,1105,-1787,527,4294,-166,357,724
0.18724997,162,1105,-1788,526,4311,-167,357,724
0.18774998,162,1105,-1788,527,4311,-167,357,724
