elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
45.49285,281,-2,372,316,-574,-160,-932,-432
45.49335,281,-2,372,316,-574,-160,-932,-433
45.49385,281,-2,372,317,-574,-159,-931,-433
45.49435,281,-2,372,317,-574,-159,-932,-432
45.49485,281,-2,372,317,-574,-159,-931,-432
45.49535,281,-2,372,316,-574,-160,-931,-433
45.49585,281,-2,372,317,-574,-159,-932,-433
45.49635,281,-2,372,316,-573,-160,-932,-432
45.49685,281,-2,372,316,-573,-160,-932,-433
45.49735,281,-2,372,316,-573,-160,-932,-432
45.49785,281,-2,372,317,-574,-159,-932,-433
45.49835,282,-2,372,317,-574,-159,-932,-432
45.49885,281,-2,372,317,-573,-159,-932,-432
45.49935,281,-2,372,317,-574,-160,-932,-433
45.49985,281,-2,372,317,-573,-159,-932,-432
45.50035,281,-2,372,317,-573,-159,-932,-433
45.50085,281,-2,372,317,-574,-159,-932,-433
45.50135,281,-2,372,317,-573,-159,-932,-433
45.50185,281,-2,372,317,-573,-159,-932,-432
45.50235,281,-2,372,317,-573,-159,-932,-433
45.50285,281,-2,372,317,-573,-159,-932,-433
45.50335,281,-2,372,317,-573,-159,-932,-433
45.50385,282,-2,372,318,-573,-159,-932,-433
45.50435,281,-2,371,318,-573,-159,-932,-433
45.50485,281,-2,372,318,-573,-159,-932,-433
45.50535,281,-2,371,318,-573,-159,-932,-433
45.50585,281,-2,372,318,-573,-159,-932,-434
45.50635,281,-2,371,318,-573,-159,-932,-434
45.50685,281,-2,372,318,-573,-159,-932,-433
45.50735,281,-2,371,318,-573,-159,-932,-433
45.50785,281,-2,372,318,-572,-159,-932,-433
45.50835,281,-2,372,318,-573,-159,-932,-433
45.50885,281,-2,372,318,-572,-159,-932,-434
45.50935,281,-2,372,318,-573,-159,-932,-434
45.50985,281,-2,372,318,-573,-160,-932,-434
45.51035,281,-2,371,318,-572,-159,-932,-434
45.51085,281,-2,371,318,-572,-159,-933,-434
45.51135,281,-2,371,319,-572,-160,-933,-434
45.51185,281,-2,371,318,-572,-160,-933,-435
45.51235,281,-2,371,318,-572,-160,-932,-434
45.51285,281,-2,371,318,-572,-160,-933,-434
45.51335,281,-2,372,318,-572,-160,-932,-434
45.51385,281,-2,371,318,-572,-160,-932,-434
45.51435,281,-2,371,318,-572,-160,-932,-434
45.51485,281,-2,371,319,-572,-160,-933,-434
45.51535,281,-2,372,318,-572,-160,-933,-434
45.51585,281,-2,371,319,-571,-160,-932,-434
45.51635,281,-2,371,318,-572,-160,-933,-434
45.51685,281,-2,371,319,-572,-160,-933,-434
45.51735,281,-2,371,319,-572,-161,-933,-434
45.51785,281,-2,371,319,-572,-161,-933,-434
45.51835,281,-2,372,319,-572,-161,-932,-434
45.51885,281,-2,371,319,-572,-160,-933,-434
45.519352,281,-2,371,319,-571,-160,-933,-434
45.51985,281,-2,371,319,-571,-160,-933,-433
45.52035,281,-2,371,319,-571,-161,-933,-433
45.52085,281,-2,371,319,-571,-161,-933,-433
45.52135,281,-2,371,319,-571,-161,-933,-434
45.52185,281,-2,371,319,-571,-162,-933,-434
45.52235,281,-2,371,319,-571,-161,-933,-435
45.52285,281,-2,371,319,-571,-161,-933,-435
45.52335,281,-2,371,319,-570,-162,-933,-435
45.52385,281,-2,371,319,-571,-161,-933,-435
45.52435,281,-2,371,319,-571,-162,-933,-435
45.52485,281,-2,371,319,-571,-162,-933,-435
45.52535,281,-2,372,319,-571,-162,-933,-435
45.52585,281,-2,371,319,-571,-162,-933,-436
