elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
0.2186,-274,267,136,-56,35,-2795,5470,-17
0.21910001,-274,266,135,-56,35,-2795,5470,-16
0.2196,-274,267,135,-57,34,-2795,5470,-16
0.22010002,-274,266,134,-57,34,-2795,5470,-15
0.22060001,-275,266,134,-57,34,-2795,5470,-15
0.22110002,-274,266,134,-57,34,-2795,5471,-14
0.22160001,-274,267,134,-57,33,-2795,5471,-15
0.2221,-275,267,134,-56,32,-2795,5470,-14
0.22260001,-274,267,134,-55,33,-2795,5470,-14
0.2231,-275,266,134,-55,32,-2795,5471,-14
0.22360002,-274,267,135,-55,33,-2795,5470,-14
0.22410001,-274,267,136,-57,33,-2795,5470,-14
0.22460002,-274,267,137,-58,34,-2795,5470,-14
0.22510001,-274,267,137,-58,35,-2794,5470,-13
0.2256,-274,267,137,-58,35,-2794,5470,-13
0.22610001,-274,267,137,-58,35,-2794,5471,-12
0.2266,-274,267,136,-58,34,-2793,5471,-12
0.22710001,-274,267,135,-57,33,-2794,5470,-12
0.22760001,-274,267,134,-57,33,-2794,5470,-12
0.22810002,-274,267,133,-57,33,-2794,5470,-12
0.22860001,-274,267,132,-56,32,-2793,5470,-12
0.2291,-274,267,132,-56,33,-2793,5470,-12
0.22960001,-274,267,133,-56,32,-2793,5471,-13
0.2301,-274,266,135,-57,33,-2793,5470,-13
0.23060001,-274,267,136,-57,34,-2794,5470,-13
0.23110001,-274,266,136,-57,33,-2794,5471,-12
0.23160002,-274,267,137,-57,33,-2794,5471,-11
0.23210001,-274,267,137,-57,32,-2794,5471,-11
0.2326,-274,267,137,-58,33,-2794,5471,-11
0.23310001,-274,267,136,-58,32,-2794,5470,-12
0.2336,-274,267,136,-57,32,-2794,5470,-12
0.23410001,-275,267,137,-57,32,-2794,5470,-12
0.23460001,-275,267,136,-56,32,-2795,5470,-13
0.23510002,-274,267,137,-56,33,-2794,5470,-13
0.23560001,-275,267,136,-56,34,-2794,5470,-13
0.23610002,-275,267,135,-56,34,-2794,5471,-13
0.23660001,-275,267,133,-57,34,-2794,5471,-13
0.2371,-275,268,132,-58,34,-2794,5470,-13
0.23760001,-275,267,133,-58,34,-2795,5470,-13
0.2381,-275,267,134,-57,34,-2795,5470,-13
0.23860002,-275,267,135,-57,34,-2795,5470,-13
0.23910001,-274,266,135,-57,33,-2795,5470,-12
0.23960002,-274,266,135,-57,33,-2795,5470,-12
0.24010001,-274,266,135,-56,34,-2795,5470,-13
0.2406,-274,267,136,-56,33,-2795,5470,-13
0.24110001,-274,266,136,-55,33,-2794,5470,-13
0.2416,-274,266,136,-55,31,-2795,5470,-13
0.24210002,-274,267,136,-56,31,-2795,5470,-13
0.24260001,-274,267,135,-57,31,-2794,5469,-13
0.24310002,-275,267,135,-58,32,-2794,5470,-13
0.24360001,-274,267,135,-57,32,-2795,5469,-12
0.2441,-274,267,135,-57,33,-2795,5469,-12
0.24460001,-274,267,136,-57,33,-2795,5470,-13
0.2451,-275,267,136,-57,34,-2795,5470,-13
0.24560001,-274,267,136,-57,34,-2795,5470,-13
0.24610001,-275,267,136,-57,34,-2795,5470,-12
0.24660002,-275,267,136,-56,34,-2795,5470,-12
0.24710001,-275,267,136,-56,35,-2795,5470,-13
0.2476,-275,267,135,-57,35,-2795,5470,-12
0.24810001,-275,267,135,-57,35,-2795,5471,-13
0.2486,-275,266,134,-57,34,-2795,5470,-13
0.24910001,-275,267,134,-56,34,-2795,5471,-13
0.24960001,-274,267,133,-56,33,-2795,5471,-13
0.25010002,-274,267,133,-57,33,-2795,5470,-13
0.2506,-274,267,133,-57,33,-2795,5470,-13
0.2511,-275,267,134,-57,33,-2795,5470,-13
0.2516,-275,268,136,-58,34,-2795,5469,-12
0.25210002,-275,268,137,-58,33,-2795,5470,-13
0.2526,-274,268,137,-57,33,-2795,5469,-12
0.2531,-275,268,136,-57,33,-2794,5470,-12
0.2536,-275,268,135,-57,32,-2795,5470,-13
0.25410002,-275,268,136,-57,33,-2795,5469,-14
0.25460002,-275,268,136,-57,33,-2795,5470,-15
0.2551,-275,267,136,-57,32,-2794,5470,-16
0.2556,-275,267,135,-57,33,-2795,5470,-17
0.2561,-275,267,135,-55,32,-2795,5471,-17
0.25660002,-274,267,134,-55,32,-2794,5470,-17
0.25710002,-274,267,134,-54,32,-2795,5470,-17
0.2576,-274,267,134,-54,32,-2795,5470,-17
0.2581,-274,267,134,-54,33,-2795,5470,-17
0.2586,-274,266,134,-55,33,-2796,5470,-17
0.25910002,-274,267,134,-55,33,-2796,5470,-17
0.2596,-274,267,134,-55,34,-2796,5470,-17
0.2601,-273,266,134,-55,34,-2796,5470,-17
0.2606,-273,266,135,-55,34,-2796,5470,-17
0.26110002,-272,266,135,-55,34,-2795,5470,-17
0.26160002,-272,266,135,-55,33,-2795,5470,-16
0.2621,-271,266,135,-56,33,-2795,5470,-14
0.2626,-272,266,135,-58,33,-2795,5469,-13
0.2631,-272,266,136,-59,32,-2795,5470,-11
0.26360002,-272,266,137,-59,32,-2794,5469,-9
0.26410002,-273,266,137,-59,33,-2794,5469,-10
0.2646,-273,266,137,-59,34,-2794,5469,-10
0.2651,-273,266,137,-59,33,-2794,5469,-10
0.2656,-273,266,136,-59,34,-2795,5470,-12
0.26610002,-273,266,136,-59,33,-2795,5470,-11
0.2666,-273,266,135,-58,34,-2795,5470,-12
0.2671,-273,266,135,-58,33,-2795,5469,-13
0.2676,-273,266,136,-58,33,-2795,5469,-13
0.26810002,-273,265,136,-58,34,-2795,5469,-13
0.26860002,-273,266,137,-58,34,-2796,5469,-13
0.2691,-273,265,136,-58,33,-2795,5470,-13
0.2696,-273,266,136,-57,33,-2795,5470,-13
0.2701,-273,266,136,-57,33,-2795,5470,-12
0.27060002,-275,266,136,-57,33,-2795,5470,-11
0.2711,-275,266,136,-56,33,-2795,5470,-12
0.2716,-277,266,135,-56,34,-2796,5470,-12
0.2721,-277,266,135,-56,33,-2796,5470,-13
0.27260002,-277,266,135,-56,34,-2795,5470,-13
0.27310002,-277,267,135,-57,34,-2796,5470,-13
0.2736,-277,267,135,-56,33,-2795,5469,-12
0.2741,-277,267,135,-56,33,-2794,5469,-13
0.2746,-276,267,135,-56,33,-2795,5469,-13
0.27510002,-276,267,135,-56,33,-2795,5469,-12
0.27560002,-275,266,135,-56,33,-2795,5470,-13
0.2761,-275,267,135,-56,32,-2795,5470,-13
0.2766,-275,266,134,-56,33,-2795,5470,-13
0.2771,-274,266,134,-56,32,-2795,5470,-13
0.27760002,-275,266,134,-56,32,-2795,5470,-13
0.2781,-275,266,134,-56,31,-2795,5470,-13
0.2786,-274,266,134,-56,31,-2795,5470,-13
0.2791,-275,266,134,-56,32,-2795,5470,-13
0.27960002,-275,266,134,-57,33,-2795,5470,-13
0.28010002,-275,266,135,-59,35,-2795,5469,-12
0.2806,-275,267,136,-59,36,-2795,5469,-12
0.2811,-275,267,135,-59,35,-2795,5469,-12
0.2816,-275,266,134,-58,34,-2794,5470,-12
0.28210002,-274,267,133,-58,34,-2795,5470,-12
0.28260002,-275,267,133,-58,34,-2795,5470,-12
0.2831,-274,266,135,-58,34,-2794,5470,-11
0.2836,-274,266,136,-57,33,-2794,5469,-11
0.2841,-275,266,135,-57,34,-2795,5469,-11
0.28460002,-274,266,135,-56,34,-2795,5469,-11
0.2852,-275,265,134,-55,34,-2795,5469,-12
0.28570002,-274,265,134,-54,34,-2795,5470,-12
0.28620002,-274,265,134,-54,34,-2795,5469,-12
0.2867,-274,265,135,-54,34,-2796,5469,-12
0.2872,-274,265,136,-57,34,-2795,5469,-12
0.2877,-274,265,136,-58,34,-2796,5469,-13
0.28820002,-274,266,136,-59,34,-2796,5469,-13
0.2887,-274,265,136,-59,34,-2796,5470,-13
0.2892,-274,265,136,-59,34,-2796,5469,-13
0.2897,-274,265,136,-59,34,-2796,5470,-12
0.29020002,-274,265,136,-58,34,-2796,5469,-12
0.29070002,-274,265,136,-57,34,-2796,5470,-12
0.2912,-274,266,136,-58,34,-2796,5470,-12
0.2917,-274,266,135,-57,34,-2795,5469,-12
0.2922,-274,265,135,-57,34,-2796,5470,-12
0.29270002,-274,265,135,-57,33,-2796,5469,-13
0.29320002,-274,266,135,-57,33,-2796,5470,-13
0.2937,-274,265,136,-56,33,-2795,5469,-12
0.2942,-274,265,136,-57,33,-2795,5469,-12
0.2947,-274,265,135,-57,34,-2796,5469,-12
0.29520002,-274,265,135,-56,34,-2796,5469,-12
0.2957,-275,265,134,-56,35,-2796,5469,-12
0.2962,-275,265,135,-56,34,-2796,5469,-12
0.2967,-275,265,135,-56,34,-2796,5469,-13
0.29720002,-275,265,136,-56,34,-2796,5469,-14
0.29770002,-274,265,136,-56,34,-2796,5469,-14
0.2982,-274,265,135,-56,33,-2796,5469,-14
0.2987,-274,265,135,-56,33,-2796,5469,-14
0.2992,-274,265,135,-57,33,-2796,5469,-14
0.29970002,-274,264,135,-58,33,-2796,5469,-14
0.30020002,-274,265,135,-58,32,-2797,5470,-14
0.3007,-274,264,134,-58,32,-2796,5470,-14
0.3012,-274,264,134,-58,32,-2797,5469,-14
0.3017,-274,265,134,-58,31,-2797,5469,-14
0.30220002,-274,264,134,-57,31,-2797,5469,-14
0.3027,-274,265,135,-58,33,-2797,5470,-14
0.3032,-274,264,135,-57,34,-2797,5469,-14
0.3037,-274,265,136,-57,34,-2796,5469,-13
0.30420002,-273,264,136,-57,34,-2796,5469,-13
0.30470002,-274,265,135,-58,34,-2796,5469,-13
0.3052,-274,265,135,-57,34,-2797,5469,-13
0.3057,-274,265,135,-58,34,-2796,5470,-13
0.3062,-275,265,135,-57,34,-2796,5470,-13
0.30670002,-275,265,135,-57,34,-2795,5469,-13
0.3072,-275,265,134,-57,34,-2796,5469,-13
0.3077,-276,265,134,-57,34,-2796,5469,-13
0.3082,-275,265,134,-58,34,-2796,5469,-13
0.30870003,-275,265,134,-58,34,-2796,5469,-13
0.30920002,-275,265,134,-57,34,-2796,5469,-13
0.3097,-275,265,135,-58,34,-2797,5469,-13
0.3102,-275,265,136,-58,34,-2796,5469,-13
0.3107,-274,265,136,-57,34,-2796,5469,-13
0.31120002,-274,264,136,-57,34,-2796,5469,-12
0.31170002,-274,264,135,-57,33,-2796,5470,-13
0.3122,-274,265,135,-57,33,-2796,5470,-12
0.3127,-274,265,135,-57,33,-2795,5469,-12
0.3132,-274,264,134,-57,33,-2796,5470,-13
0.31370002,-274,265,134,-57,33,-2796,5468,-13
0.3142,-274,264,135,-58,34,-2796,5469,-13
0.3147,-274,264,135,-58,35,-2796,5469,-13
0.3152,-274,264,135,-58,34,-2796,5469,-13
0.31570002,-274,264,135,-57,34,-2796,5470,-13
0.31620002,-274,264,135,-57,33,-2796,5469,-13
0.3167,-274,264,135,-57,32,-2796,5469,-13
0.3172,-274,264,135,-57,32,-2796,5469,-13
0.3177,-274,264,135,-57,32,-2796,5469,-13
0.31820002,-274,264,135,-57,32,-2796,5469,-14
0.31870002,-274,264,136,-57,32,-2796,5469,-13
0.3192,-274,264,135,-57,32,-2797,5469,-13
0.3197,-274,264,136,-57,33,-2797,5469,-12
0.3202,-274,265,135,-57,33,-2796,5469,-12
0.32070002,-275,265,134,-57,34,-2797,5469,-11
0.3212,-275,265,133,-58,34,-2796,5469,-11
0.3217,-275,265,134,-59,34,-2797,5469,-11
0.3222,-275,265,133,-58,33,-2796,5469,-11
0.32270002,-275,265,132,-57,33,-2797,5469,-11
0.32320002,-275,265,132,-56,32,-2797,5469,-10
0.3237,-275,265,132,-55,31,-2797,5469,-11
0.3242,-274,265,134,-56,31,-2797,5468,-11
0.3247,-275,265,135,-56,32,-2797,5469,-11
0.32520002,-275,265,136,-56,34,-2797,5469,-11
0.3257,-275,265,136,-56,34,-2797,5469,-12
0.3262,-275,264,136,-55,35,-2797,5469,-13
0.3267,-275,265,135,-54,34,-2797,5469,-13
0.32720003,-275,265,134,-54,34,-2797,5469,-14
0.32770002,-275,265,134,-54,33,-2797,5469,-14
0.3282,-275,265,134,-54,32,-2797,5469,-14
0.3287,-275,265,135,-57,34,-2797,5469,-14
0.3292,-275,265,136,-59,34,-2797,5469,-14
0.32970002,-274,265,136,-61,35,-2797,5468,-14
