elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
1.6356498,675,-1441,0,1390,-1247,-830,857,731
1.6361498,675,-1440,0,1390,-1246,-830,857,731
1.6366498,674,-1440,1,1389,-1246,-830,857,731
1.6371498,674,-1440,3,1386,-1245,-830,856,731
1.6376498,673,-1440,4,1385,-1245,-830,856,731
1.6381499,674,-1440,4,1385,-1245,-830,856,731
1.6386498,674,-1440,3,1386,-1245,-830,856,732
1.6391498,674,-1440,3,1386,-1246,-830,857,731
1.6396499,675,-1440,3,1387,-1247,-829,857,732
1.6401498,675,-1440,2,1387,-1247,-829,857,732
1.6406498,675,-1440,2,1387,-1248,-829,856,732
1.6411498,675,-1440,2,1387,-1248,-829,856,732
1.6416498,675,-1440,2,1387,-1248,-829,856,732
1.6421498,675,-1441,2,1386,-1248,-830,856,732
1.6426498,675,-1442,2,1386,-1247,-829,856,732
1.6431499,674,-1441,2,1386,-1247,-829,856,732
1.6436498,674,-1441,2,1386,-1247,-829,856,732
1.6442498,674,-1442,2,1386,-1247,-829,856,732
1.6447498,674,-1442,1,1387,-1247,-829,857,732
1.6452498,674,-1441,1,1387,-1247,-830,857,732
1.6457498,674,-1441,1,1387,-1248,-829,858,732
1.6462498,674,-1441,1,1387,-1248,-829,858,732
1.6467499,674,-1440,2,1388,-1248,-829,858,732
1.6472498,675,-1440,2,1387,-1248,-829,858,732
1.6477498,675,-1440,2,1387,-1248,-829,858,732
1.6482499,675,-1440,3,1387,-1248,-830,857,732
1.6487498,675,-1440,3,1387,-1248,-830,857,732
1.6492498,675,-1440,2,1387,-1248,-830,857,731
1.6497498,675,-1440,3,1388,-1248,-830,857,731
1.6502498,675,-1441,2,1389,-1247,-830,857,731
1.6507498,675,-1442,2,1388,-1247,-830,857,731
1.6512498,675,-1442,2,1388,-1246,-830,857,731
1.6517498,675,-1442,2,1387,-1246,-830,857,731
1.6522498,675,-1442,2,1386,-1246,-830,857,731
1.6527498,675,-1442,2,1387,-1246,-830,857,731
1.6532499,675,-1442,2,1387,-1246,-830,857,731
1.6537498,675,-1441,1,1387,-1246,-830,857,731
1.6542498,674,-1440,1,1387,-1246,-830,857,732
1.6547499,674,-1440,1,1387,-1247,-830,856,732
1.6552498,675,-1440,1,1387,-1246,-830,857,731
1.6557498,675,-1440,1,1387,-1247,-830,857,731
1.6562498,675,-1441,0,1387,-1246,-830,857,731
1.6567498,675,-1440,0,1387,-1247,-830,857,731
1.6572498,675,-1440,0,1387,-1247,-830,857,731
1.6577498,675,-1440,0,1387,-1247,-830,857,731
1.6582499,675,-1440,1,1387,-1246,-830,857,731
1.6587498,674,-1440,1,1386,-1246,-830,857,731
1.6592498,674,-1440,2,1386,-1247,-830,856,732
1.6597499,674,-1441,3,1386,-1247,-829,857,732
1.6602498,674,-1440,4,1387,-1247,-830,857,732
1.6607498,674,-1441,4,1387,-1246,-830,857,732
1.6612498,674,-1441,3,1387,-1246,-829,857,732
1.6617498,674,-1441,3,1387,-1246,-829,857,732
1.6622498,674,-1440,2,1388,-1246,-829,857,732
1.6627498,674,-1440,2,1388,-1247,-829,857,733
1.6632499,675,-1440,2,1388,-1246,-829,857,732
1.6637498,674,-1441,2,1388,-1247,-829,857,732
1.6642498,674,-1440,1,1388,-1247,-829,857,731
1.6647499,674,-1441,2,1388,-1247,-830,857,732
1.6652498,675,-1441,2,1387,-1247,-829,856,731
1.6657498,675,-1441,2,1387,-1247,-830,856,732
1.6662499,675,-1441,2,1387,-1247,-830,857,731
1.6667498,675,-1441,2,1387,-1247,-830,857,731
1.6672498,675,-1441,3,1387,-1247,-830,857,731
1.6677498,675,-1441,2,1387,-1247,-830,857,732
1.6682498,675,-1441,2,1388,-1247,-829,857,732
1.6687498,675,-1441,2,1388,-1248,-830,857,731
1.6692498,675,-1441,2,1388,-1247,-830,857,731
1.6697499,675,-1441,2,1388,-1247,-830,857,732
1.6702498,674,-1441,2,1388,-1247,-829,857,732
