elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
2.1426501,-171,217,11,633,-102,-327,-6457,-434
2.14315,-171,217,11,633,-102,-327,-6457,-434
2.1436503,-171,218,11,633,-101,-327,-6457,-434
2.1441503,-171,218,11,633,-101,-327,-6457,-434
2.1446502,-171,218,11,633,-101,-326,-6457,-434
2.1451502,-171,218,10,633,-102,-326,-6457,-434
2.1456501,-170,218,11,633,-102,-326,-6457,-434
2.14615,-171,218,11,633,-101,-326,-6457,-434
2.14665,-171,218,11,633,-101,-327,-6457,-434
2.1471503,-171,218,11,633,-102,-326,-6457,-434
2.1476502,-171,218,11,633,-101,-326,-6457,-434
2.1481502,-171,218,11,633,-102,-326,-6457,-434
2.1486502,-171,218,11,633,-101,-326,-6457,-434
2.1491501,-171,218,10,633,-102,-326,-6457,-434
2.14965,-171,218,11,633,-101,-326,-6457,-434
2.1501503,-171,218,11,633,-101,-326,-6457,-434
2.1506503,-170,218,11,633,-101,-326,-6457,-434
2.1511502,-171,218,11,633,-101,-326,-6457,-434
2.1516502,-171,218,11,633,-101,-326,-6457,-434
2.1521502,-171,218,11,633,-101,-326,-6457,-434
2.15265,-171,218,11,633,-101,-326,-6458,-434
2.15315,-171,218,11,633,-101,-326,-6458,-434
2.1536503,-170,218,10,633,-101,-326,-6457,-434
2.1541502,-170,218,11,633,-101,-326,-6457,-434
2.1546502,-171,218,11,633,-101,-326,-6457,-434
2.1551502,-171,218,11,633,-101,-326,-6458,-434
2.1556501,-172,219,11,633,-101,-326,-6458,-434
2.15615,-173,219,11,632,-101,-326,-6457,-434
2.15665,-172,219,11,632,-100,-326,-6457,-434
2.1571503,-172,219,11,632,-100,-326,-6457,-434
2.1576502,-171,218,11,633,-100,-326,-6457,-434
2.1581502,-171,218,11,633,-100,-326,-6457,-434
2.1586502,-171,218,11,633,-101,-326,-6457,-434
2.1591501,-171,218,11,633,-101,-326,-6457,-434
2.15965,-171,218,11,633,-101,-327,-6457,-434
2.1601503,-171,218,11,633,-101,-326,-6457,-434
2.1606503,-170,218,11,633,-101,-327,-6456,-434
2.1611502,-170,218,11,633,-100,-326,-6456,-434
2.1616502,-171,218,11,632,-100,-326,-6456,-434
2.1621501,-171,218,10,632,-100,-326,-6457,-434
2.16265,-171,218,11,632,-100,-326,-6457,-434
2.16315,-171,219,11,632,-100,-326,-6457,-434
2.1636503,-171,218,11,632,-100,-326,-6458,-434
2.1641502,-171,218,11,633,-100,-326,-6457,-434
2.1646502,-171,218,11,633,-100,-326,-6457,-434
2.1651502,-171,218,11,632,-100,-326,-6457,-434
2.1656501,-171,218,11,633,-100,-326,-6457,-434
2.16615,-171,218,11,633,-100,-326,-6457,-434
2.1666503,-171,219,11,633,-100,-326,-6457,-434
2.1671503,-171,218,11,633,-101,-326,-6457,-434
2.1676502,-171,218,11,633,-102,-326,-6457,-434
2.1681502,-171,218,11,633,-102,-326,-6457,-434
2.1686502,-171,218,10,633,-103,-326,-6457,-434
2.16915,-171,218,10,633,-104,-327,-6457,-434
2.16965,-171,218,10,633,-104,-327,-6458,-434
2.1701503,-171,218,10,634,-105,-327,-6458,-434
2.1706502,-170,217,10,633,-106,-326,-6458,-435
2.1711502,-171,218,10,634,-106,-327,-6458,-434
2.1716502,-170,217,9,634,-106,-326,-6458,-435
2.1721501,-170,218,9,634,-107,-326,-6458,-435
2.17265,-170,217,9,634,-107,-326,-6459,-435
2.1731503,-170,216,9,634,-108,-327,-6459,-435
2.1736503,-170,217,8,634,-108,-327,-6458,-435
2.1741502,-170,217,9,634,-108,-327,-6458,-435
2.1746502,-170,217,9,634,-108,-326,-6458,-435
2.1751502,-170,217,9,634,-108,-326,-6458,-434
2.1756501,-170,218,9,634,-108,-326,-6458,-435
2.17615,-171,217,9,634,-107,-326,-6458,-434
2.1766503,-171,218,9,634,-107,-326,-6458,-434
2.1771502,-171,218,9,634,-107,-327,-6458,-434
2.1776502,-171,218,9,634,-107,-326,-6459,-434
2.1781502,-171,218,9,634,-106,-327,-6458,-434
2.1786501,-171,218,9,633,-106,-326,-6458,-434
2.17915,-171,218,10,634,-106,-326,-6457,-434
2.17965,-171,218,9,634,-106,-326,-6458,-434
2.1801503,-170,218,10,634,-106,-326,-6458,-434
2.1806502,-170,219,10,634,-106,-326,-6457,-434
2.1811502,-171,218,9,634,-106,-326,-6457,-433
2.1816502,-171,218,9,634,-106,-326,-6457,-434
2.1821501,-170,218,9,634,-105,-326,-6457,-433
2.18265,-170,218,9,634,-106,-326,-6457,-433
2.1831503,-170,218,9,634,-105,-326,-6458,-434
2.1836503,-170,218,10,634,-106,-326,-6458,-433
2.1841502,-170,218,10,634,-105,-325,-6458,-433
2.1846502,-170,218,10,634,-104,-326,-6458,-434
2.1851501,-171,218,10,633,-105,-326,-6458,-434
2.18565,-170,218,10,633,-105,-327,-6458,-435
2.18615,-170,218,10,633,-104,-327,-6458,-435
2.1866503,-170,218,10,633,-104,-327,-6458,-435
2.1871502,-170,218,10,633,-105,-327,-6457,-435
