elapsed_s,lhl,lhm,lgm,lgl,lpl,lrf,lta,lvl
344.6232,155,-136,109,242,-135,-209,87,-77
344.6237,155,-136,110,242,-135,-210,87,-78
344.6242,155,-136,110,242,-134,-210,88,-78
344.6247,155,-136,109,242,-135,-209,88,-78
344.6252,155,-136,110,242,-135,-210,88,-78
344.6257,155,-136,110,242,-135,-209,87,-78
344.6262,155,-136,109,242,-134,-210,87,-78
344.6267,155,-136,110,242,-135,-210,87,-78
344.6272,155,-136,110,242,-135,-210,87,-78
344.6277,155,-136,109,243,-135,-209,87,-78
344.6282,155,-136,110,243,-135,-209,87,-78
344.6287,155,-136,109,243,-135,-209,88,-78
344.6292,155,-136,110,243,-135,-210,88,-78
344.6297,155,-136,110,243,-135,-209,87,-78
344.6302,155,-136,110,242,-135,-210,87,-78
344.6307,155,-136,110,242,-135,-209,87,-78
344.6312,155,-136,110,242,-134,-210,87,-78
344.6317,155,-136,110,242,-134,-209,86,-78
344.6322,155,-136,109,243,-134,-210,86,-78
344.6327,155,-136,109,243,-134,-209,86,-78
344.6332,155,-136,109,244,-134,-209,86,-78
344.6337,155,-136,109,244,-135,-210,86,-78
344.6342,155,-136,109,243,-134,-210,86,-78
344.6347,155,-136,110,242,-134,-209,86,-78
344.6352,155,-135,110,241,-134,-210,86,-78
344.6357,155,-136,110,240,-134,-209,86,-78
344.6362,155,-136,110,239,-135,-209,86,-78
344.6367,155,-136,110,239,-134,-209,86,-78
344.6372,155,-136,109,240,-134,-210,86,-78
344.6377,155,-136,109,240,-135,-210,86,-78
344.6382,155,-136,108,241,-135,-209,87,-78
344.6387,155,-136,109,241,-135,-209,87,-77
344.6392,155,-136,109,241,-135,-209,86,-78
344.6397,155,-136,110,242,-135,-209,86,-77
344.6402,155,-136,110,241,-135,-209,86,-78
344.6407,155,-136,110,241,-135,-209,86,-78
344.6412,155,-136,110,241,-135,-209,86,-78
344.6417,155,-136,110,241,-134,-210,86,-78
344.6422,155,-136,109,241,-135,-210,87,-78
344.6427,155,-136,109,242,-135,-210,87,-78
344.6432,155,-136,109,242,-135,-209,87,-78
344.6437,155,-136,109,242,-135,-209,87,-78
344.6442,155,-136,109,242,-135,-210,87,-78
344.6447,155,-136,110,242,-135,-209,87,-78
344.6452,155,-135,110,242,-135,-209,87,-78
344.6457,155,-135,110,242,-134,-209,88,-77
344.6462,155,-136,110,241,-135,-209,88,-78
344.6467,155,-135,110,242,-134,-209,88,-78
344.6472,155,-136,110,242,-135,-210,88,-78
344.6477,155,-136,109,242,-134,-209,88,-78
344.6482,155,-136,110,242,-135,-209,88,-78
344.6487,155,-136,109,242,-135,-209,88,-78
344.6492,155,-136,110,242,-135,-210,88,-78
344.6497,156,-136,110,243,-135,-209,88,-77
344.6502,155,-136,109,242,-135,-209,88,-77
344.6507,155,-135,109,242,-135,-209,88,-78
344.6512,155,-136,110,242,-135,-210,89,-78
344.6517,155,-136,110,242,-135,-209,89,-78
344.6522,155,-135,110,242,-135,-210,89,-78
344.6527,155,-136,110,242,-135,-210,88,-78
344.6532,155,-135,110,242,-135,-210,88,-78
344.6537,155,-136,110,242,-135,-210,88,-78
