elapsed_s,rvl,rrf,rta,rpl,rgl,rhm,rgm,rhl
0.21504998,4,1724,72,1592,-15,-350,-6239,-447
0.21554999,3,1724,73,1592,-14,-350,-6238,-447
0.21604998,3,1724,72,1592,-14,-350,-6238,-447
0.21655,2,1724,72,1592,-15,-350,-6239,-447
0.21704999,2,1725,72,1592,-15,-350,-6240,-447
0.21754998,3,1724,72,1592,-15,-350,-6241,-447
0.21804999,3,1724,72,1593,-15,-350,-6241,-447
0.21854998,3,1724,72,1592,-15,-350,-6240,-447
0.21904999,3,1724,72,1592,-15,-350,-6240,-447
0.21954998,3,1723,72,1592,-15,-350,-6239,-447
0.22004999,3,1723,72,1592,-15,-350,-6240,-447
0.22054999,3,1724,72,1592,-15,-350,-6240,-447
0.22104998,3,1724,72,1592,-15,-350,-6240,-447
0.22154999,3,1724,72,1592,-15,-350,-6240,-447
0.22204998,4,1724,72,1593,-15,-350,-6239,-447
0.22254999,3,1723,72,1592,-15,-350,-6240,-447
0.22304998,3,1723,72,1592,-15,-350,-6240,-447
0.22354999,3,1723,72,1593,-15,-350,-6240,-447
0.22404999,3,1724,72,1593,-15,-350,-6240,-448
0.22455,3,1723,72,1593,-15,-350,-6240,-447
0.22504999,3,1723,72,1593,-16,-350,-6240,-447
0.22554998,3,1723,73,1592,-14,-350,-6239,-447
0.22604999,3,1724,72,1592,-15,-350,-6240,-447
0.22654998,3,1724,72,1592,-15,-350,-6240,-447
0.22704999,4,1724,72,1592,-15,-350,-6241,-447
0.22754999,5,1723,71,1593,-15,-350,-6240,-447
0.22805,5,1723,71,1592,-15,-350,-6240,-447
0.22854999,5,1723,72,1592,-15,-349,-6240,-447
0.22904998,4,1724,72,1592,-15,-350,-6239,-447
0.22954999,3,1724,72,1592,-14,-349,-6238,-447
0.23004998,4,1724,73,1592,-15,-349,-6239,-446
0.23054999,3,1724,73,1592,-15,-349,-6240,-446
0.23104998,3,1724,73,1592,-15,-349,-6240,-446
0.23155,4,1724,72,1592,-15,-349,-6241,-446
0.23204999,3,1724,72,1592,-15,-349,-6240,-446
0.23254998,3,1724,72,1593,-15,-350,-6240,-446
0.23304999,3,1723,72,1592,-15,-350,-6240,-447
0.23354998,3,1723,72,1593,-15,-350,-6239,-446
0.23404999,3,1724,72,1592,-14,-350,-6240,-447
0.23454998,3,1724,72,1592,-15,-349,-6241,-447
0.23505,3,1724,72,1593,-15,-349,-6241,-447
0.23554999,3,1724,72,1592,-15,-349,-6240,-447
0.23604998,3,1724,72,1593,-15,-350,-6240,-447
0.23654999,4,1723,72,1593,-15,-350,-6239,-447
0.23704998,4,1723,72,1593,-15,-351,-6239,-448
0.23754999,4,1723,72,1593,-15,-350,-6239,-447
0.23804998,4,1723,72,1593,-16,-350,-6239,-448
0.23854999,4,1724,73,1592,-15,-350,-6240,-447
0.23904999,4,1724,72,1592,-15,-350,-6240,-447
0.23954998,4,1724,72,1592,-14,-350,-6240,-448
0.24004999,4,1724,71,1592,-16,-350,-6239,-447
0.24054998,4,1724,72,1592,-15,-350,-6240,-447
0.24104999,4,1724,72,1593,-15,-350,-6239,-447
0.24154998,4,1724,72,1592,-15,-350,-6240,-447
0.24204999,3,1724,72,1592,-14,-350,-6240,-447
0.24254999,3,1724,72,1592,-14,-350,-6240,-447
0.24304998,3,1724,73,1592,-14,-350,-6240,-447
0.24354999,3,1724,72,1592,-14,-350,-6240,-446
0.24404998,3,1723,73,1592,-15,-350,-6240,-447
0.24454999,3,1723,72,1592,-15,-349,-6241,-446
0.24504998,3,1724,72,1593,-15,-349,-6241,-447
0.24554999,3,1724,72,1593,-15,-350,-6240,-446
0.24604999,3,1724,72,1592,-15,-350,-6241,-447
0.24655,3,1724,72,1592,-15,-350,-6240,-447
0.24704999,3,1724,72,1592,-14,-350,-6240,-447
0.24754998,3,1724,72,1593,-15,-350,-6240,-447
0.24804999,3,1724,72,1592,-15,-350,-6241,-447
0.24854998,3,1724,72,1592,-15,-350,-6240,-447
0.24904999,4,1724,72,1593,-15,-350,-6240,-447
0.24954998,4,1724,72,1592,-15,-350,-6240,-447
0.25004998,4,1724,72,1592,-15,-350,-6239,-447
0.25054997,4,1724,72,1592,-15,-350,-6240,-447
0.25105,4,1724,72,1592,-15,-350,-6240,-447
0.25155,4,1724,72,1592,-15,-350,-6240,-447
0.25204998,4,1725,72,1592,-15,-349,-6240,-447
0.25254998,3,1725,72,1593,-15,-350,-6241,-447
0.25305,4,1724,72,1592,-15,-350,-6241,-447
0.25355,3,1725,72,1592,-15,-350,-6240,-447
0.25405,3,1725,72,1592,-14,-350,-6240,-447
0.25454998,4,1724,72,1592,-15,-350,-6240,-447
